input_curie	preferred_identifier	preferred_label	confidence	method	evidence
SNOMEDCT:440406003	UMLS:C2586182	Indian head massage	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
MESH:D026882	UMLS:C2713399		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MTH:NOCODE	UMLS:C2713399		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MTH
MESH:D011577	UMLS:C2713448		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MTH:NOCODE	UMLS:C2713448		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MTH
SNOMEDCT:53508008	UMLS:C2713448		0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
SNOMEDCT:723528003	UMLS:C2713448		0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
MESH:D001676	UMLS:C2713541		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MESH:D058765	UMLS:C2713542		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
NCIT:C93302	UMLS:C2713543	Neurofeedback	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
MESH:D058765	UMLS:C2713543	Neurofeedback	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
SNOMEDCT:29203007	UMLS:C2713543	Neurofeedback	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
MESH:D056147	UMLS:C2717786	Equine-Assisted Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MESH:D056692	UMLS:C2717875	Prebiotics	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MESH:D056785	UMLS:C2717890	Medicine, Mongolian Traditional	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
SNOMEDCT:444934009	UMLS:C2919709	Hot stone massage	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
MESH:D056228	UMLS:C2936180		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MESH:D056228	UMLS:C2936181		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MTH:NOCODE	UMLS:C2936181		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MTH
MESH:D056228	UMLS:C2936182		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MESH:D056228	UMLS:C2936183		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MTH:NOCODE	UMLS:C2945659	bioenergetic therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MTH
NCIT:C92810	UMLS:C2985297	Hypnobirthing	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
NCIT:C94635	UMLS:C2986609	Trigger Point Acupuncture	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
MESH:D059328	UMLS:C3178784	Diffuse Noxious Inhibitory Control	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MESH:D001676	UMLS:C3179341		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MESH:D062525	UMLS:C3494322	Narrative Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
NCIT:C15276	UMLS:C3536731	Massage Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
MESH:D008405	UMLS:C3536731	Massage Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MTH:NOCODE	UMLS:C3536731	Massage Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MTH
SNOMEDCT:43670004	UMLS:C3536731	Massage Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
SNOMEDCT:387854002	UMLS:C3536731	Massage Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
MESH:D064746	UMLS:C3658309	Therapy, Soft Tissue	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MESH:D064869	UMLS:C3658321		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
NCIT:C183119	UMLS:C3658321		0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
MTH:NOCODE	UMLS:C3658321		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MTH
SNOMEDCT:460901000124104	UMLS:C3658321		0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
MESH:D014023	UMLS:C3658370	Tissue Therapy, Historical	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MESH:D014023	UMLS:C3661503		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MESH:D066273	UMLS:C3849996		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MESH:D006990	UMLS:C3888013	Hypnosis	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MTH:NOCODE	UMLS:C3888013	Hypnosis	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MTH
NCIT:C116561	UMLS:C3899490	Cranial Electrical Stimulation	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
MTH:NOCODE	UMLS:C3899490	Cranial Electrical Stimulation	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MTH
MESH:D066236	UMLS:C4042760	Bioresonance Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MESH:D027641	UMLS:C4045984	Laughter Yoga	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MESH:D026443	UMLS:C4045985	Exorcism	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
